Candidate,Party,Race,JurisdictionName,County,Votes
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Chelan,11016
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Chelan,12014
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Chelan,18195
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Chelan,12946
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Chelan,17107
Randy I. Dorn,22165,Washington State Superintendent of Public Instruction,,Chelan,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Chelan,12400
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Chelan,16846
Linda Evans Parlette,(Prefers Gop Party),Legislative District 12 State Senator,Legislative District 12,Chelan,24600
Cary Condotta,(Prefers Republican Party),Legislative District 12 State Representative Pos. 1,Legislative District 12,Chelan,18131
Stan Morse,(Prefers Republican Party),Legislative District 12 State Representative Pos. 1,Legislative District 12,Chelan,10106
Mike Armstrong,(Prefers Republican Party),Legislative District 12 State Representative Pos. 2,Legislative District 12,Chelan,13965
Brad Hawkins,(Prefers Republican Party),Legislative District 12 State Representative Pos. 2,Legislative District 12,Chelan,14813
Deanna Walter,(Prefers Republican Party),CHELAN COUNTY ASSESSOR,CHELAN COUNTY,Chelan,19143
DeWayne G. Crater,(Prefers Republican Party),CHELAN COUNTY ASSESSOR,CHELAN COUNTY,Chelan,6144
Ron Walter,(Prefers Republican Party),CHELAN COUNTY COUNTY COMMISSIONER 1,CHELAN COUNTY,Chelan,16802
Gary Schoessler,(Prefers Republican Party),CHELAN COUNTY COUNTY COMMISSIONER 1,CHELAN COUNTY,Chelan,8633
Doug England,(Prefers Republican Party),CHELAN COUNTY COUNTY COMMISSIONER 3,CHELAN COUNTY,Chelan,17931
Mary T. Signorelli,(Prefers Democrat Party),CHELAN COUNTY COUNTY COMMISSIONER 3,CHELAN COUNTY,Chelan,11609
Susan Owens,20575,Supreme Court Justice Position 2,,Chelan,100
Steve Gonzalez,20264,Supreme Court Justice Position 8,,Chelan,100
Sheryl Gordon McCloud,10670,Supreme Court Justice Position 9,,Chelan,44.1146
Richard B. Sanders,13517,Supreme Court Justice Position 9,,Chelan,55.8854
 Division 3, District 3 Judge Position 2,Court of Appeals,100,Chelan,Teresa C. Kulik
Lesley A. Allan,21057,Chelan Superior Court Judge Position 1,,Chelan,100
T.W Chip Small,21536,Chelan Superior Court Judge Position 2,,Chelan,100
Alicia H. Nakata,14634,Chelan Superior Court Judge Position 3,,Chelan,50.3008
Travis Brandt,14459,Chelan Superior Court Judge Position 3,,Chelan,49.6992
Yes,1153,FIRE DIST 7 CHELAN Chelan County Fire Protection District No. 7 - Proposition No. 1 Authorizing Increase in Property Taxes over 1% Limitation,,Chelan,42.5618
No,1556,FIRE DIST 7 CHELAN Chelan County Fire Protection District No. 7 - Proposition No. 1 Authorizing Increase in Property Taxes over 1% Limitation,,Chelan,57.4382
Yes,2053,Fire District 3 Annex Chelan County Fire District No. 3 Annexation of City of Leavenworth into Chelan County Fire Distric No. 3 Boundaries,,Chelan,86.0436
No,333,Fire District 3 Annex Chelan County Fire District No. 3 Annexation of City of Leavenworth into Chelan County Fire Distric No. 3 Boundaries,,Chelan,13.9564
Randy Smith,20632,PUD ALL PUBLIC UTILITY DIST COMMISSIONER 2,,Chelan,100
Carnan Bergren,20480,PUD ALL PUBLIC UTILITY DIST COMMISSIONER A,,Chelan,100
Yes,25573,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Clallam,69.9691
No,10976,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Clallam,30.0309
Yes,19856,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Clallam,53.8395
No,17024,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Clallam,46.1605
Approved,17933,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Clallam,47.5084
Rejected,19814,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Clallam,52.4916
Yes,20812,Statewide Initiative Measure No. 502 Concerns marijuana,,Clallam,54.926
No,17079,Statewide Initiative Measure No. 502 Concerns marijuana,,Clallam,45.074
Approved,21347,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Clallam,63.5384
Rejected,12250,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Clallam,36.4616
Approved,13302,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Clallam,38.7069
Rejected,21064,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Clallam,61.2931
Repealed,20706,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Clallam,62.7302
Maintained,12302,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Clallam,37.2698
Repealed,19748,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Clallam,60.7425
Maintained,12763,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Clallam,39.2575
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Clallam,18580
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Clallam,18437
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Clallam,522
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Clallam,135
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Clallam,293
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Clallam,26
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Clallam,21
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Clallam,52
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Clallam,20252
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Clallam,17331
Derek Kilmer,(Prefers Democratic Party),Congressional District 6 U.S. Representative,Congressional District 6,Clallam,19689
Bill Driscoll,(Prefers Republican Party),Congressional District 6 U.S. Representative,Congressional District 6,Clallam,17316
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Clallam,17516
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Clallam,20021
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Clallam,18887
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Clallam,17419
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Clallam,19699
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Clallam,16058
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Clallam,19529
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Clallam,16226
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Clallam,18875
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Clallam,16216
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Clallam,17810
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Clallam,18094
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Clallam,18328
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Clallam,17171
Randy I. Dorn,24694,Washington State Superintendent of Public Instruction,,Clallam,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Clallam,18333
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Clallam,16610
Jim Hargrove,(Prefers Democratic Party),Legislative District 24 State Senator,Legislative District 24,Clallam,21944
Larry Carter,(Prefers Independent Party),Legislative District 24 State Senator,Legislative District 24,Clallam,13272
Kevin Van De Wege,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 1,Legislative District 24,Clallam,21510
Craig Durgan,(States No Party Preference),Legislative District 24 State Representative Pos. 1,Legislative District 24,Clallam,13620
Steve Tharinger,(Prefers Democratic Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Clallam,19723
Steve Gale,(Prefers Republican Party),Legislative District 24 State Representative Pos. 2,Legislative District 24,Clallam,16458
Mike Chapman,(States No Party Preference),COUNTYWIDE Commissioner Dist. No. 2,COUNTYWIDE,Clallam,21901
Maggie Roth,(Prefers Republican Party),COUNTYWIDE Commissioner Dist. No. 2,COUNTYWIDE,Clallam,13195
Susan Owens,25118,Supreme Court Justice Position 2,,Clallam,100
Steve Gonzalez,23726,Supreme Court Justice Position 8,,Clallam,100
Sheryl Gordon McCloud,15850,Supreme Court Justice Position 9,,Clallam,53.4552
Richard B. Sanders,13801,Supreme Court Justice Position 9,,Clallam,46.5448
 Division 2, District 2 Judge Position 2,Court of Appeals,53.2358,Clallam,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,46.7642,Clallam,Thomas Bjorgen
Erik Rohrer,17100,Clallam Superior Court Judge Position 1,,Clallam,55.7766
Christopher Melly,13558,Clallam Superior Court Judge Position 1,,Clallam,44.2234
George L. Wood,25364,Clallam Superior Court Judge Position 2,,Clallam,100
S. Brooke Taylor,24710,Clallam Superior Court Judge Position 3,,Clallam,100
Ted Simpson,14211,PUBLIC UTILITY DIST 1 Commissioner District No. 3,,Clallam,58.7936
Cindy Kelly,9960,PUBLIC UTILITY DIST 1 Commissioner District No. 3,,Clallam,41.2064
Yes,126267,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Clark,70.3865
No,53124,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Clark,29.6135
Yes,94814,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Clark,52.3302
No,86370,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Clark,47.6698
Approved,88870,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Clark,47.3956
Rejected,98637,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Clark,52.6044
Yes,93376,Statewide Initiative Measure No. 502 Concerns marijuana,,Clark,49.6781
No,94586,Statewide Initiative Measure No. 502 Concerns marijuana,,Clark,50.3219
Approved,107007,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Clark,63.0254
Rejected,62777,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Clark,36.9746
Approved,67881,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Clark,39.0635
Rejected,105890,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Clark,60.9365
Repealed,105751,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Clark,63.5894
Maintained,60552,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Clark,36.4106
Repealed,95835,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Clark,59.5755
Maintained,65028,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Clark,40.4245
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Clark,93382
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Clark,92951
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Clark,2523
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Clark,591
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Clark,984
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Clark,58
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Clark,61
